Entity,Code,Year,Electric cars sold,Non-electric car sales
Australia,AUS,2012,250,833083.4
Australia,AUS,2013,290,852651.1
Australia,AUS,2014,1320,823680
Australia,AUS,2015,1760,878240
Australia,AUS,2016,1370,911963.3
Australia,AUS,2017,2300,882315.44
Australia,AUS,2018,3600,853542.9
Australia,AUS,2019,9200,757466.6
Australia,AUS,2020,6900,620372.7
Australia,AUS,2021,20400,708171.44
Australia,AUS,2022,38900,723845.1
Austria,AUT,2015,2800,308311.12
Austria,AUT,2016,5000,328333.34
Austria,AUT,2017,7100,347900
Austria,AUT,2018,9100,340900
Austria,AUT,2019,11500,317071.44
Austria,AUT,2020,23600,224821.05
Austria,AUT,2021,48000,192000
Austria,AUT,2022,47000,166636.36
Belgium,BEL,2010,56,559944
Belgium,BEL,2011,296,568934.75
Belgium,BEL,2012,910,478037.38
Belgium,BEL,2013,560,466106.7
Belgium,BEL,2014,1950,473659.75
Belgium,BEL,2015,3900,502593.53
Belgium,BEL,2016,9200,531976.44
Belgium,BEL,2017,14700,550684.6
Belgium,BEL,2018,13200,536800
Belgium,BEL,2019,17700,535425
Belgium,BEL,2020,47000,380272.72
Belgium,BEL,2021,71000,323444.44
Belgium,BEL,2022,97000,276076.94
Brazil,BRA,2012,92,3066574.8
Brazil,BRA,2013,163,2963473.5
Brazil,BRA,2015,87,2121864.2
Brazil,BRA,2016,177,1769823
Brazil,BRA,2017,315,1657579.8
Brazil,BRA,2018,296,2113989.8
Brazil,BRA,2019,1940,2307583.8
Brazil,BRA,2020,2480,1650853.2
Brazil,BRA,2021,13900,1864478.4
Brazil,BRA,2022,18500,1869255.1
Canada,CAN,2011,520,1267772.6
Canada,CAN,2012,1920,1369508.6
Canada,CAN,2013,3100,1473090.5
Canada,CAN,2014,5100,1540354.5
Canada,CAN,2015,6800,1574595.4
Canada,CAN,2016,11600,1599511
Canada,CAN,2017,16700,1670168.6
Canada,CAN,2018,44000,1585629.6
Canada,CAN,2019,51000,1542750
Canada,CAN,2020,51000,1192902.5
Canada,CAN,2021,87000,1251461.5
Canada,CAN,2022,114000,1098766
Chile,CHL,2014,17,239419.62
Chile,CHL,2015,36,189437.69
Chile,CHL,2016,31,206635.67
Chile,CHL,2017,135,221176.47
Chile,CHL,2018,178,247044.23
Chile,CHL,2019,300,213985.72
Chile,CHL,2020,189,117936
Chile,CHL,2021,570,299430
Chile,CHL,2022,1500,304622.44
China,CHN,2010,1440,14398560
China,CHN,2011,5120,15053703
China,CHN,2012,9860,13496990
China,CHN,2013,15730,16542165
China,CHN,2014,73000,18177000
China,CHN,2015,211000,20889000
China,CHN,2016,339000,22261000
China,CHN,2017,580000,23586666
China,CHN,2018,1090000,21154898
China,CHN,2019,1060000,20140000
China,CHN,2020,1140000,18515172
China,CHN,2021,3250000,17062500
China,CHN,2022,5900000,14444828
Denmark,DNK,2011,422,168378
Denmark,DNK,2012,502,172601.45
Denmark,DNK,2013,510,181632.86
Denmark,DNK,2014,1690,186087.78
Denmark,DNK,2015,4720,200497.39
Denmark,DNK,2016,1870,218130
